Observation,TextUrn,Image,Comments
urn:cite:op:hmt12E.34,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ο","urn:cite:hmt:vaimg.VA156VN-0658@0.264,0.2336,0.0109,0.0086",
urn:cite:op:hmt12E.35,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ἱ","urn:cite:hmt:vaimg.VA156VN-0658@0.2731,0.2298,0.0059,0.0123",
urn:cite:op:hmt12E.36,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@δ","urn:cite:hmt:vaimg.VA156VN-0658@0.2796,0.2341,0.0099,0.0077",
urn:cite:op:hmt12E.37,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ὲ","urn:cite:hmt:vaimg.VA156VN-0658@0.2889,0.2305,0.0056,0.0091",
urn:cite:op:hmt12E.38,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ἐ","urn:cite:hmt:vaimg.VA156VN-0658@0.2951,0.2309,0.0056,0.0091",
urn:cite:op:hmt12E.39,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@π","urn:cite:hmt:vaimg.VA156VN-0658@0.3007,0.2311,0.0056,0.0091",
urn:cite:op:hmt12E.40,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ε","urn:cite:hmt:vaimg.VA156VN-0658@0.3072,0.2311,0.0056,0.0091",
urn:cite:op:hmt12E.41,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ὶ","urn:cite:hmt:vaimg.VA156VN-0658@0.3112,0.2303,0.0056,0.0091",
urn:cite:op:hmt12E.42,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ἀ","urn:cite:hmt:vaimg.VA156VN-0658@0.3174,0.2296,0.0056,0.0091",
urn:cite:op:hmt12E.43,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@λ","urn:cite:hmt:vaimg.VA156VN-0658@0.3227,0.2326,0.0042,0.0072",
urn:cite:op:hmt12E.44,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@λ","urn:cite:hmt:vaimg.VA156VN-0658@0.3264,0.2313,0.0042,0.0072",
urn:cite:op:hmt12E.45,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ή","urn:cite:hmt:vaimg.VA156VN-0658@0.3306,0.2286,0.0071,0.0096",
urn:cite:op:hmt12E.46,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@λ","urn:cite:hmt:vaimg.VA156VN-0658@0.336,0.2318,0.0071,0.007",
urn:cite:op:hmt12E.47,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ο","urn:cite:hmt:vaimg.VA156VN-0658@0.3422,0.232,0.0054,0.0064",
urn:cite:op:hmt12E.48,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@υ","urn:cite:hmt:vaimg.VA156VN-0658@0.3465,0.2315,0.0054,0.0064",
urn:cite:op:hmt12E.49,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ς","urn:cite:hmt:vaimg.VA156VN-0658@0.3515,0.2318,0.0054,0.0064",
urn:cite:op:hmt12E.50,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ἀ","urn:cite:hmt:vaimg.VA156VN-0658@0.3603,0.2298,0.0088,0.0085",
urn:cite:op:hmt12E.51,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@ρ","urn:cite:hmt:vaimg.VA156VN-0658@0.3679,0.2328,0.0071,0.0096",
urn:cite:op:hmt12E.52,"urn:cts:greekLit:tlg5026.msA.hmt:12E.1@α","urn:cite:hmt:vaimg.VA156VN-0658@0.3744,0.2307,0.0071,0.0083",
