Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:12E.1,"urn:cite:hmt:vaimg.VA156VN-0658@0.4404,0.2908,0.0641,0.1007",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAim.hmt:12E.2,"urn:cite:hmt:vaimg.VA156VN-0658@0.4484,0.5928,0.043,0.0421",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAim.hmt:12E.3,"urn:cite:hmt:vaimg.VA157VN-0659@0.4355,0.2614,0.1326,0.0092",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12E.4,"urn:cite:hmt:vaimg.VA157VN-0659@0.4345,0.304,0.0706,0.011",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12E.5,"urn:cite:hmt:vaimg.VA157VN-0659@0.4332,0.3876,0.0662,0.0211",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAim.hmt:12E.6,"urn:cite:hmt:vaimg.VA157VN-0659@0.4426,0.4228,0.0789,0.0237",urn:cite:hmt:msA.157v
